N,P,K,temperature,humidity,ph,rainfall,label
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,2
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,2
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,2
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,2
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,2
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,2
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,2
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,2
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,2
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,2
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,2
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,2
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,2
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,2
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,2
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,2
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,2
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,2
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,2
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,2
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,2
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,2
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,2
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,2
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,2
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,2
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,2
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,2
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,2
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,2
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,2
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,2
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,2
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,2
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,2
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,2
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,2
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,2
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,2
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,2
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,2
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,2
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,2
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,2
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,2
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,2
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,2
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,2
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,2
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,2
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,2
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,2
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,2
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,2
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,2
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,2
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,2
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,2
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,2
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,2
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,2
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,2
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,2
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,2
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,2
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,2
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,2
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,2
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,2
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,2
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,2
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,2
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,2
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,2
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,2
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,2
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,2
91,21,26,26.33377983,57.36469955,7.261313694,191.6549412,1
107,21,26,26.45288458,55.32222678,7.235070264,144.6861336,1
83,38,35,25.70822684,52.88667115,7.18915558,136.7325092,1
108,24,31,24.12832546,56.18107663,6.431899748,147.2757818,1
116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,1
116,23,25,23.4123707,52.26994674,6.869720196,139.3670753,1
109,31,27,23.05951896,50.40609436,6.973839707,164.4971875,1
89,25,34,23.07895447,63.65861483,7.184801627,129.8765443,1
118,18,32,27.6496114,51.11044023,6.351823783,122.8392822,1
111,32,34,25.46743689,69.35161206,6.392048018,171.3764462,1
84,36,28,26.7350622,55.55164819,6.119892347,140.6305213,1
85,33,25,26.20811417,52.50987966,6.910823945,189.0944824,1
99,15,27,27.0424167,57.27927475,6.501157208,165.6872119,1
81,30,31,24.65090184,51.93952357,7.027585559,135.1386537,1
95,39,29,27.35152643,55.99375012,7.13411409,148.9812525,1
81,34,30,25.17787724,62.26244581,6.647765997,135.0119649,1
80,15,28,23.11438731,68.00096043,6.703270635,161.8944624,1
104,20,26,27.22783677,52.95261751,7.493191968,175.7260273,1
109,29,28,23.26316991,60.5160021,6.724688503,194.1755471,1
100,32,26,25.234661,57.53161469,6.043485685,124.2261737,1
100,24,28,25.59535262,57.72920846,7.101661011,195.7733251,1
83,21,28,25.5674832,60.49244602,7.466900683,190.2257843,1
120,23,28,25.67324193,51.29043632,6.877799264,196.2736367,1
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,1
108,33,31,23.69287069,66.76090123,7.393825704,144.6576424,1
91,25,26,24.53460016,66.99765375,7.482414225,180.5059257,1
86,26,27,27.13140403,52.89368299,6.081172981,192.4280381,1
98,18,27,27.56088634,68.49299897,6.516312148,167.4358075,1
111,27,31,23.59302313,55.27564977,6.043330951,191.3980675,1
84,39,35,23.17714381,52.13864034,6.959404135,117.3113562,1
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,1
118,21,34,24.38534644,64.72543073,7.234258375,119.6324109,1
103,27,31,27.15998538,51.59100753,6.691541233,126.1752206,1
82,24,33,26.53543168,67.09608099,6.809593554,120.6494434,1
86,31,35,27.01207284,60.76645256,6.485761419,191.4508931,1
88,35,35,27.55906475,58.45742907,6.784460602,117.9389993,1
84,27,29,23.32293161,53.00366334,7.167092586,168.2644287,1
120,40,33,24.23850608,54.30329632,6.73410539,115.1564012,1
106,40,30,23.42611644,64.10651528,6.779984384,122.6847408,1
113,21,33,26.02241444,55.83288958,7.277422738,176.9020924,1
117,34,25,24.83846178,56.7685316,7.21270048,124.4135035,1
80,30,25,26.24092174,65.64381357,7.487266991,148.3771202,1
88,21,27,24.43011925,66.02411187,7.231166546,181.6368274,1
113,33,34,26.00373964,62.1445102,6.559817161,153.477776,1
87,23,28,26.22367404,62.26594559,6.979590627,193.7461968,1
113,15,29,27.09617155,63.55324262,6.779230041,190.2440566,1
98,29,30,25.64004392,61.03273481,6.217974349,199.4735636,1
97,29,27,27.74576987,54.36976075,7.205078785,139.8619431,1
85,35,32,26.24928198,54.28617819,6.854011265,133.1120232,1
82,29,35,26.67377159,52.24226285,6.246872394,156.1543898,1
103,33,25,27.10210397,55.7497332,6.911066044,139.5013171,1
112,17,28,27.62975458,61.26002598,6.777417989,196.6492664,1
99,19,33,27.5364547,55.51673151,6.273741983,130.6377143,1
120,20,34,23.56960509,50.56339727,6.906124587,130.3797119,1
114,27,28,24.99451759,57.93250202,7.162802357,192.8736822,1
100,40,35,27.56441788,54.41094079,6.955787351,177.816092,1
108,35,25,23.98143338,61.10935084,6.971963169,161.5279095,1
115,31,30,24.22984659,67.37768353,6.840927967,122.4073418,1
87,28,30,25.60153969,68.66257977,6.536676653,168.8383605,1
82,24,26,24.31274458,53.57285558,6.089443603,184.4103931,1
94,26,27,26.36629861,52.25738495,7.456460375,177.3176161,1
87,28,35,26.5602777,57.1621814,6.759211911,152.0616227,1
118,40,35,26.35034208,58.50650238,7.460174812,121.5586297,1
87,38,29,25.20406808,57.88370456,6.652642579,156.1457255,1
92,40,30,23.35723208,55.18792166,6.026287448,171.6976946,1
97,22,26,23.60567546,59.68849145,6.074190142,185.1568059,1
99,40,32,24.18471151,69.94807345,7.045543056,163.2708732,1
89,28,33,26.44414097,53.83876189,6.993236001,175.3723314,1
112,39,29,26.12492233,63.37479229,6.726528895,147.8035305,1
111,28,26,27.77363343,64.47858698,6.937352845,192.7121236,1
114,20,26,25.55656667,62.67087838,7.27905689,193.5866233,1
117,26,30,27.92374437,67.96910852,7.079850922,115.2325531,1
111,29,31,26.05968403,52.31098539,6.136286518,161.3432535,1
119,30,28,26.35770906,64.57578034,6.505203696,163.6269496,1
116,40,33,24.91370487,54.15319242,7.042089492,129.5481144,1
95,37,35,27.31317116,68.4233391,6.348337519,192.4288139,1
86,40,33,26.1387869,52.26311691,7.432322234,136.3027766,1
117,37,32,23.1069385,67.06230539,6.787658922,162.5769606,1
105,18,35,23.52648086,68.44030686,6.743417121,171.8839938,1
109,23,25,25.11711046,68.48030408,7.00733163,194.8773479,1
80,18,31,24.02952505,58.84880599,7.303033217,134.6803969,1
101,31,26,26.70897548,69.71184111,6.861235184,158.8608887,1
103,33,33,26.71717393,50.50148528,7.131435858,126.8073984,1
93,26,27,24.59245684,56.46829641,7.288211994,137.7044047,1
104,35,28,27.51006055,50.66687215,6.983732393,143.9955548,1
116,36,25,27.57847581,58.52534263,6.172090205,156.6810374,1
107,38,29,26.65069302,57.56695719,6.35118177,145.105065,1
101,33,33,26.97251562,62.0183627,6.908671379,142.8610793,1
107,31,31,23.17124551,52.97841162,6.766184468,153.1201644,1
99,16,30,23.52652084,65.44340921,6.392791654,186.1728203,1
103,40,30,27.30901814,55.196224,6.348316257,141.4831644,1
118,31,34,27.54823036,62.88179198,6.123796057,181.4170812,1
106,21,35,25.627355,57.04151119,7.428523634,188.5506536,1
116,38,34,23.29250318,50.04557009,6.020947179,183.468585,1
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,1
107,34,32,26.77463708,66.4132686,6.78006386,177.7745075,1
99,15,27,27.41711238,56.63636248,6.086922359,127.92461,1
118,33,30,24.13179691,67.22512329,6.362607851,173.3228386,1
117,32,34,26.2724184,52.12739421,6.758792552,127.1752928,1
104,18,30,23.60301571,60.39647474,6.779832611,140.9370415,1
